Date,c1,c2,A,B,switch,c1_ret,c2_ret,rollex_ret,rollex_px
2023-03-06,182.45,180.3,0,1,0,0.00912610619469012,0.01377565364070854,0.01377565364070854,145.33311793702063
2023-03-07,184.55,182.55,0,1,0,0.011510002740476866,0.012479201331114798,0.012479201331114798,147.14675917583537
2023-03-08,179.55,177.35,0,1,0,-0.027092928745597433,-0.02848534648041645,-0.02848534648041645,142.9552327572413
2023-03-09,178.0,175.05,0,1,0,-0.008632692843219214,-0.01296870594868893,-0.01296870594868893,141.10128837978627
2023-03-10,182.25,177.8,0,1,0,0.023876404494381998,0.01570979720079979,0.01570979720079979,143.31796100500426
2023-03-13,183.2,179.2,0,1,0,0.005212620027434722,0.00787401574803126,0.00787401574803126,144.44644888693338
2023-03-14,180.9,175.45,0,1,0,-0.01255458515283836,-0.0209263392857143,-0.0209263392857143,141.42371348890882
2023-03-15,178.05,172.6,0,1,0,-0.015754560530679917,-0.016243944143630618,-0.016243944143630618,139.12643458641017
2023-03-16,185.5,180.05,0,1,0,0.041842179163156246,0.04316338354577076,0.04316338354577076,145.131602243819
2023-03-17,183.0,176.6,0,1,0,-0.013477088948787075,-0.01916134407109149,-0.01916134407109149,142.3506856776364
2023-03-20,184.9,178.5,0,1,0,0.01038251366120213,0.01075877689694238,0.01075877689694238,143.88220494596882
2023-03-21,186.7,180.3,0,1,1,0.009734991887506705,0.010084033613445342,0.010084033613445342,145.3331179370206
2023-03-22,178.0,176.85,1,0,0,-0.04659882163899298,-0.019134775374376134,-0.012756516916250793,143.47917355956554
2023-03-23,174.3,173.45,1,0,0,-0.020786516853932513,-0.0192253322024315,-0.020786516853932513,140.49674130018133
2023-03-24,179.25,178.3,1,0,0,0.028399311531841498,0.027961948688382865,0.028399311531841498,144.4867520255737
2023-03-27,176.9,176.15,1,0,0,-0.013110181311018154,-0.012058328659562578,-0.013110181311018154,142.59250450947835
2023-03-28,173.75,173.0,1,0,0,-0.017806670435274174,-0.017882486517172946,-0.017806670435274174,140.0534067751377
2023-03-29,169.7,168.95,1,0,0,-0.023309352517985715,-0.02341040462427757,-0.023309352517985715,136.78885254527117
2023-03-30,169.8,169.0,1,0,0,0.0005892751915146377,0.00029594554601963807,0.0005892751915146377,136.86945882255185
2023-03-31,170.5,169.7,1,0,0,0.0041224970553592755,0.004142011834319392,0.0041224970553592755,137.4337027635164
2023-04-03,176.25,175.25,1,0,0,0.03372434017595305,0.03270477312905129,0.03372434017595305,142.06856370715406
2023-04-04,174.85,173.95,1,0,0,-0.007943262411347574,-0.007417974322396659,-0.007943262411347574,140.94007582522488
2023-04-05,180.15,179.0,1,0,0,0.030311695739205113,0.029031330842196112,0.030311695739205113,145.2122085210996
2023-04-06,183.6,181.7,0,1,0,0.01915070774354688,0.01508379888268152,0.01508379888268152,147.40256026974185
2023-04-10,182.6,180.7,0,1,0,-0.005446623093681935,-0.005503577325261411,-0.005503577325261411,146.59131888135582
2023-04-11,190.5,188.45,0,1,0,0.04326396495071205,0.042888765910348736,0.042888765910348736,152.87843964134757
2023-04-12,190.25,188.5,0,1,0,-0.001312335958005284,0.00026532236667553555,0.00026532236667553555,152.91900171076688
2023-04-13,196.1,194.4,0,1,0,0.030749014454664936,0.03129973474801062,0.03129973474801062,157.70532590224445
2023-04-14,193.4,191.5,0,1,0,-0.01376848546659859,-0.014917695473251058,-0.014917695473251058,155.35272587592496
2023-04-17,201.0,199.05,0,1,0,0.03929679420889354,0.03942558746736302,0.03942558746736302,161.4775983582395
2023-04-18,205.25,203.05,0,1,0,0.021144278606965106,0.020095453403667474,0.020095453403667474,164.72256391178365
2023-04-19,202.55,200.15,0,1,0,-0.013154689403166775,-0.014282196503324296,-0.014282196503324296,162.36996388546416
2023-04-20,195.9,193.9,0,1,0,-0.03283139965440629,-0.03122658006495127,-0.03122658006495127,157.29970520805145
